央视,#genre#
CCTV-12社会与法,http://107.150.60.122/live/cctv12hd.m3u8#http://74.91.26.218:82/live/cctv12hd.m3u8#http://204.12.221.218:8181/3m1080p/cctv12.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub#http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009
CCTV-13新闻,http://74.91.26.218:82/live/cctv13hd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv13hd#http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009#http://120.76.248.139/live/bfgd/4200000067.m3u8#http://bztv.tvbus.cc:8081/cdnlive/cctv13.m3u8#http://go.bkpcp.top/mg/cctv13
CCTV-14少儿,http://198.204.228.26/live/cctv14hd.m3u8#http://74.91.26.218:82/live/cctv14hd.m3u8#http://204.12.221.218:8181/3m1080p/cctv14.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv14hd#http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009
CCTV-15音乐,https://xykt-fix.github.io/play/a02e/index.m3u8#http://74.91.26.218:82/live/cctv15hd.m3u8#http://198.204.228.26/live/cctv15hd.m3u8#http://204.12.221.218:8181/3m1080p/cctv15.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv15hd#http://38.75.136.137:98/gslb/dsdqbv/cctv15hd.m3u8?auth=test20251009
CCTV-16奥林匹克,http://74.91.26.218:82/live/cctv16hd.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009#http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub#http://207.56.13.146:81/cdnlive/cctv16.m3u8
CCTV-17农业农村,http://74.91.26.218:82/live/cctv17hd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv17hd#http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009#https://live.264788.xyz/channel/cctv17?streamid=f9c36f1e95b5b35eac89cc89583e7c0a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk#https://live.264788.xyz/channel/cctv17?streamid=348c8c0c04a6d2b900e5a3bcb4af8ce1&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CGTN (1080p),https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8
CGTN Global Biz (1080p),https://fastlive.cctvplus.com/out/v1/2b3d8a0c805d437f9dc85b764c2ac599/index.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
卫视,#genre#
三沙卫视,http://107.150.60.122/live/ssws.m3u8#http://198.204.228.26/live/ssws.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ssws#http://38.75.136.137:98/gslb/dsdqpub/ssws.m3u8?auth=testpub
东南卫视,http://107.150.60.122/live/dnwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dnwshd#http://38.75.136.137:98/gslb/dsdqpub/dnwshd.m3u8?auth=testpub#http://120.76.248.139/live/bfgd/4200000483.m3u8
东方卫视,http://107.150.60.122/live/dfwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dfwshd#http://38.75.136.137:98/gslb/dsdqbv/dfwshd.m3u8?auth=test20251009#http://38.75.136.137:98/gslb/dsdqpub/dfwshd.m3u8?auth=testpub#https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
云南卫视,http://107.150.60.122/live/ynwshd.m3u8#http://192.151.150.154/live/ynwshd.m3u8#http://120.76.248.139/live/bfgd/4200000482.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ynwshd
内蒙古卫视,http://107.150.60.122/live/nmgws.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nmgws#https://live.264788.xyz/channel/neimengguweishi?streamid=81a015dbecf3031d7d847b7a9b059f67&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk#https://live.264788.xyz/channel/neimengguweishi?streamid=3e7340acf8869ac1c7dad1bb836dcd35&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk#http://play1-qk.nmtv.cn/live/1769652018126032.m3u8
北京卫视,http://107.150.60.122/live/bjwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=bjwshd#http://38.75.136.137:98/gslb/dsdqbv/bjwshd.m3u8?auth=test20251009#http://104.152.209.49:8181/720p/bjws.m3u8#http://120.76.248.139/live/bfgd/4200000083.m3u8
厦门卫视,http://107.150.60.122/live/xmws.m3u8#http://192.151.150.154/live/xmws.m3u8#http://198.204.228.26/live/xmws.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xmws
吉林卫视,http://107.150.60.122/live/jlwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jlwshd#http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub
四川卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=scwshd#http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub#https://live.264788.xyz/channel/sichuanweishi4k?streamid=21be5901ee81559c827dc84e46f26452&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk#https://live.264788.xyz/channel/sichuanweishi4k?streamid=401bf692a1a8b91298f26077d53316d6&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk#http://107.150.60.122/live/scwshd.m3u8
大湾区卫视,http://107.150.60.122/live/nfws.m3u8#http://198.204.228.26/live/nfws.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nfws#http://38.75.136.137:98/gslb/dsdqpub/nfws.m3u8?auth=testpub
天津卫视,http://107.150.60.122/live/tjwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=tjwshd#http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
宁夏卫视,http://107.150.60.122/live/nxws.m3u8#http://198.204.228.26/live/nxws.m3u8#https://live.264788.xyz/channel/ningxiaweishi?streamid=1b2952717a920173e66d4a348f9dcb5c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk#https://live.264788.xyz/channel/ningxiaweishi?streamid=e1236348f815c36a0429357e5b5c5f10&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk#https://live.264788.xyz/channel/ningxiaweishi?streamid=551474d02bee1c160e1692e22c45ddba&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
安多卫视,https://liveout.xntv.tv/a65jur/96iln2.m3u8
安徽卫视,http://107.150.60.122/live/ahwshd.m3u8#http://198.204.228.26/live/ahwshd.m3u8#http://204.12.221.218:8181/3m1080p/ahws.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ahwshd#http://104.152.209.49:8181/720p/ahws.m3u8
山东卫视,http://198.204.228.26/live/sdwshd.m3u8#http://107.150.60.122/live/sdwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sdwshd#http://120.76.248.139/live/bfgd/4200000099.m3u8#http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
山西卫视,http://204.12.221.218:8181/3m1080p/sxws.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sxwshd#https://live.264788.xyz/channel/shanxiweishi?streamid=eeb7d60ca6e0db131ea7a092a3cd28d2&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk#https://live.264788.xyz/channel/shanxiweishi?streamid=69e002ac7467d661ff7ad0671ed43f16&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk#http://107.150.60.122/live/sxwshd.m3u8
广东卫视,http://107.150.60.122/live/gdwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdwshd#http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub#http://120.76.248.139/live/bfgd/4200000092.m3u8#https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
广西卫视,http://107.150.60.122/live/gxwshd.m3u8#http://198.204.228.26/live/gxwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gxwshd#http://38.75.136.137:98/gslb/dsdqpub/gxwshd.m3u8?auth=testpub#http://120.76.248.139/live/bfgd/4200000116.m3u8
延边卫视,https://srs.iyb983.cn:443/video/CYS/index.m3u8#https://srs.iyb983.cn/video/CYS/index.m3u8
新疆卫视,http://107.150.60.122/live/xjws.m3u8#http://198.204.228.26/live/xjws.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xjws#http://38.75.136.137:98/gslb/dsdqpub/xjws.m3u8?auth=testpub#https://live.264788.xyz/channel/xinjiangweishi?streamid=4f481f56ae39ce5d24203471de9df635&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
江苏卫视,http://107.150.60.122/live/jswshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jswshd#http://38.75.136.137:98/gslb/dsdqbv/jswshd.m3u8?auth=test20251009#http://38.75.136.137:98/gslb/dsdqpub/jswshd.m3u8?auth=testpub#http://104.152.209.49:8181/720p/jsws.m3u8
江西卫视,http://107.150.60.122/live/jxwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jxwshd#http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub#https://live.264788.xyz/channel/jiangxiweishi?streamid=555198f31caa33506ac6abb70d788959&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk#http://112.27.5.218:9901/tsfile/live/faacts/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://204.12.221.218:8181/3m1080p/hews.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hewshd#http://38.75.136.137:98/gslb/dsdqpub/hewshd.m3u8?auth=testpub#http://120.76.248.139/live/bfgd/4200000108.m3u8
河南卫视,http://107.150.60.122/live/hawshd.m3u8#http://173.208.212.130:8181/720p/haws.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hawshd#http://38.75.136.137:98/gslb/dsdqpub/hawshd.m3u8?auth=testpub#http://111.59.139.82:11888/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://107.150.60.122/live/zjwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=zjwshd#http://38.75.136.137:98/gslb/dsdqpub/zjwshd.m3u8?auth=testpub#http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
深圳卫视,http://107.150.60.122/live/szwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=szwshd#http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8#http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub#http://120.76.248.139/live/bfgd/4200000100.m3u8
湖北卫视,http://107.150.60.122/live/hbwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hbwshd#http://120.76.248.139/live/bfgd/4200000102.m3u8
湖南卫视,http://107.150.60.122/live/hnwshd.m3u8#http://74.91.26.218:82/live/hnwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hnwshd#https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
甘肃卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gswshd#http://38.75.136.137:98/gslb/dsdqpub/gswshd.m3u8?auth=testpub#http://120.76.248.139/live/bfgd/4200000119.m3u8
福建海峡卫视,http://38.64.72.148/hls/modn/list/4009/playlist.m3u8#http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8#https://m.italkbbtv.com/live/6a30f74820a80832dc74e2c7#http://r.jdshipin.com/WtYt3
西藏卫视,http://107.150.60.122/live/xzws.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xzws#https://live.264788.xyz/channel/xizangweishi?streamid=4b4e8ea919f1cfd5e43deed1d1675251&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk#http://112.27.5.218:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0#http://120.76.248.139/live/bfgd/4200000121.m3u8
贵州卫视,http://107.150.60.122/live/gzwshd.m3u8#http://204.12.221.218:8181/3m1080p/gzws.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gzwshd#http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub#https://live.264788.xyz/channel/guizhouweishi?streamid=091bd59ea031989839c23459bb8cc9d4&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
辽宁卫视,http://198.204.228.26/live/lnwshd.m3u8#http://107.150.60.122/live/lnwshd.m3u8#http://204.12.221.218:8181/3m1080p/lnws.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnwshd#http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
重庆卫视,http://107.150.60.122/live/cqwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cqwshd
陕西卫视,http://107.150.60.122/live/snwshd.m3u8#http://192.151.150.154/live/snwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=snwshd#https://live.264788.xyz/channel/shaanxiweishi?streamid=9dc887dba8ecb4e4143baf4f2373800c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
青海卫视,http://107.150.60.122/live/qhws.m3u8#http://120.76.248.139/live/bfgd/4200000111.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=qhws#https://hls-qhmh.lanzhousobey.cn/qhmh/mhds.m3u8
黑龙江卫视,http://198.204.228.26/live/hljwshd.m3u8#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hljwshd#http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub#http://120.76.248.139/live/bfgd/4200000095.m3u8#http://107.150.60.122/live/hljwshd.m3u8
港澳台,#genre#
三立新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
东森洋片,http://31.43.191.125:8080/vip6821768502490/6c17bae55394/34904
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
凤凰中文,https://7612-5516-affc-d88b.kylintv.tv/live/pxinhd_iphone.m3u8
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx#http://r.jdshipin.com/0Rp07#http://43.152.224.209/qctv.fengshows.cn/live/0701pin72.flv#https://cdn6.163189.xyz/163189/fhzx
凤凰香港,http://r.jdshipin.com/yDoTN#http://php.jdshipin.com/TVOD/iptv.php?id=fhhk#https://epg.pw/stream/5f16dc7fc8aaaed3205516c63e4a8c24bca9dbba1181684244729cf574505b0e.m3u8#http://r.jdshipin.com/NfC0f#https://cdn6.163189.xyz/163189/fhhk
纬来体育,https://epg.pw/stream/ab6df63b64d0cc44a1f4f029ed847a26fa54a7aebd455578fb05a63f02c22f4b.m3u8#https://epg.pw/stream/8855a9936e37e608a0ec8a014cce1673dee9c5d68d560da376cc92e5edef2b25.m3u8#https://epg.pw/stream/4f18dfe0593db5c686eb64ae8edaf2a9202d4d46bdc9bbde2cee27708e12ea01.m3u8
靖天映画,http://31.43.191.125:8080/vip6821768502490/6c17bae55394/34838
龙祥电影,http://31.43.191.125:8080/vip6821768502490/6c17bae55394/34825
浙江频道,#genre#
之江纪录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel12/720p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?#https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8#http://ali-m-l.cztv.com/channels/lantian/channel007/720p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/720p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?#https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8?#https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8#http://ali-m-l.cztv.com/channels/lantian/channel03/720p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8?#https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
宗教,#genre#
ABN China (720p),https://mediaserver.abnvideos.com/streams/abnchina.m3u8
Ando TV (1080p),http://play.kankanlive.com/live/1711956137852982.m3u8
Angel TV Chinese (720p),https://janya-digimix.akamaized.net/vglive-sk-999451/chinese/ngrp:angelchinese_all/playlist.m3u8
Beautiful Life TV,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
CGNTV Chinese (1080p),https://d3e05csss9c272.cloudfront.net/out/v1/f0bf71c57581470fb9379f603e8f5d83/CGNWebLiveCN.m3u8
DAAI TV,https://pull.daaiplus.com/live-DAAIPLUS/live-DAAIPLUS_HD.m3u8
God Stands TV Chinese,https://online.godstands.tv:5443/WebRTCApp/streams/chineselive.m3u8
Good 2 (720p),https://live.streamingfast.net/osmflivech2.m3u8
Good TV (Taiwan) (720p) [Not 24/7],https://live.streamingfast.net/osmflivech1.m3u8
LLBN TV Chinese (480p),https://brightstar-chinese-pull-secure.akamaized.net/brightstarchinese/stream.m3u8
Peace TV Chinese (1080p),https://dzkyvlfyge.erbvr.com/PeaceTvChinese/index.m3u8
WXTV (480p),https://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
其他,#genre#
Anhui TV,https://restream.pdtvhd.com/memfs/c1cd2ed0-3b2b-4c25-af98-a7fb0b1eb130.m3u8
Bread TV (720p),https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
CCTV-Culture of Quality SD (1080p),http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
Guangdong Satellite TV,https://h5cul1yar48um3t.wcetv.com/hls/gdsatellite.m3u8
Hunan TV (2160p),http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
Nei Monggol TV (960p),https://cdn4.skygo.mn/live/disk1/NeigMGL/HLSv3-FTA/NeigMGL.m3u8
RTHK TV 31 (1080p) [Geo-blocked],https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/master.m3u8
VoA TV China (1080p),https://voa-ingest.akamaized.net/hls/live/2033878/tvmc08/playlist.m3u8
Xinjiang TV 2,http://110.153.180.106:55555/out_3/index.m3u8
Xinjiang TV 3,http://110.153.180.106:55555/out_2/index.m3u8
Xinjiang TV 8,http://120.70.60.179:9901/tsfile/live/1002_1.m3u8?authid=0&key=txiptv&playlive=1
Xizang TV Tibetan (720p) [Not 24/7],http://php.jdshipin.com:8880/xztv.php?id=zy
Zhejiang International Channel,https://ali-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
新闻,#genre#
Anshun Comprehensive News Channel,https://hplayer1.juyun.tv/camera/154379194.m3u8
CCTV+ 1 (600p) [Not 24/7],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV+ 2 (600p) [Not 24/7],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
Chifeng Comprehensive News Chanel,http://play1-qk.nmtv.cn/live/1735546697341033.m3u8
Chuxiong News Channel [Not 24/7],http://hwapi.yntv.net/ew265l/848y54.m3u8
DHA (720p) [Not 24/7],https://603c568fccdf5.streamlock.net/live/dhaweb1_C5efC/playlist.m3u8
Harbin Comprehensive News Channel,https://stream.hrbtv.net/xwzh/playlist.m3u8?_upt=ef41dd531755913594
Lanzhou Comprehensive News Channel,https://liveplus.lzr.com.cn/xwzh/HD/live.m3u8
QTV-1,http://video10.qtv.com.cn/drm/qtv1at/manifest.m3u8
综合,#genre#
Baicheng TV [Geo-blocked],https://stream2.jlntv.cn/baicheng1/sd/live.m3u8
Beijing Satellite TV [Not 24/7],http://go.bkpcp.top/mg/bjws
CCTV-4K HD (1080p),http://192.151.150.154/live/cctv8k.m3u8#http://198.204.240.250:82/live/cctv4k.m3u8
Channel 8 (Singapore) (720p),https://cdn.qd.je/163189/ch8
Chaozhou Public Channel,http://113.64.146.48:1688/hls/4/index.m3u8
Dragon TV International,https://restream.pdtvhd.com/memfs/0b1b95c9-3543-4af9-9fdb-cf45f1602f17.m3u8
Guangdong TV America,https://h5cul1yar48um3t.wcetv.com/hls/gdtv.m3u8
Guangzhou TV,https://tencentplaybusiness.gztv.com/live/zonghes.m3u8
Hebei TV (2160p),https://event.pull.hebtv.com/live/live101.m3u8
Kangba TV,http://110.185.237.164:8888/hls/30/index.m3u8
Lotus TV (720p),https://cdn4.skygo.mn/live/disk1/Lotus/HLSv3-FTA/Lotus.m3u8
NTD TV (1080p),https://ntd02.akamaized.net/HD-NY/index.m3u8
NTD TV Asia-Pacific,https://live.ntdtv.com/aplive200/playlist.m3u8
NTD TV Canada,https://live.ntdtv.com/mllive860/playlist.m3u8
NTD TV Canada West,https://live.ntdtv.com/cwlive220/playlist.m3u8
NTD TV China,https://live.ntdtv.com/cnlive900/playlist.m3u8
NTD TV West (720p),https://ntd02.akamaized.net/HD-LA/index.m3u8
QTV-4,http://video10.qtv.com.cn/drm/qtv4at/manifest.m3u8
QTV-5,http://video10.qtv.com.cn/drm/qtv5at/manifest.m3u8
Siping TV,http://stream2.jlntv.cn/sptv/sd/live.m3u8?_upt=f27750421743154598
Taiwan Indigenous TV (720p),https://streamipcfapp.akamaized.net/live/_definst_/live_720/key_b1500.m3u8
TV BRICS Chinese (1080p),https://chibrics.mediacdn.ru/cdn/brics/chinese/playlist.m3u8
WCETV Digital Channel 31.8,https://h5cul1yar48um3t.wcetv.com/hls/wcetv318.m3u8
体育,#genre#
CCTV-Billiards (1080p),http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV-Golf & Tennis (1080p),http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV-Storm Football (1080p),http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
生活,#genre#
CCTV-Health (1080p),http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
CCTV-Women's Fashion SD (1080p),http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
